response,THAP9,LRRFIP1,SPATA6,TBX21,PPIA,NR1H3,SDC4,ASCC3,DEFB1,KCNMB4,GRHPR,CAP1,B4GALT2,BXDC2,SLC13A2,CADM3,CASC5,SLC6A6,SLIT2,MRFAP1L1,HOXC10,HOXA6,HABP2,IL21,KIF18A,CD58,EMID1,RFTN1,RPS23,EEF1G,ORM2,NCOA1,PGK1,ANKRD5,KNG1,RCAN2,SENP2,NAGLU,CGREF1,PYY,FREQ,FUBP1,SLC30A5,BRD8,SPTBN2,MYST4,KIAA0182,BPGM,MAP2K3,IL7R,CAMK2A,EFTUD1,PPP5C,DNAJB14,CSNK1G2,PPL,DKK3,DNAJC6,TSC2,EPB41L5,RPH3AL
2328,3.237931001,7.023938403,3.611837445,3.451258158,12.11896166,5.536193611,8.109178979,7.226663547,6.276452586,8.849842876,8.169755913,9.504479211,5.238122906,6.862143559,3.908335993,3.582195744,2.61762776,3.431865463,4.969057628,7.042996735,3.375629969,3.102822482,3.542476943,3.171160149,4.320959439,5.243605476,6.584813212,6.570965487,11.87720183,11.44154444,3.375294556,5.877049956,8.947899519,5.560729786,3.131100367,3.905407572,4.990510415,4.070367642,3.708450034,3.259304358,5.407044302,5.746473009,5.316037719,5.632785469,3.3586005,5.934870993,5.661233793,5.024346172,5.610435992,5.350429639,3.383888037,4.910356809,4.495980884,5.886023332,6.085463382,6.925521843,3.365435387,3.234854553,6.083242979,3.833878365,3.93888124
2174,3.187488303,8.008673617,4.109873685,3.533907382,11.82380823,4.105337076,9.049196961,4.525793193,7.363395952,6.074698765,7.492784223,9.462847712,6.051936105,5.817172119,4.186574471,3.910917985,2.788137719,3.389210661,4.554906377,6.597018874,3.241887747,3.546662296,3.423701714,3.284912047,3.220256389,4.736532718,6.72354086,7.816982452,11.61891138,11.48759326,4.100182206,5.990960537,6.104854818,4.805808117,3.378694786,3.64135138,4.16658544,4.662976454,4.442359506,3.572450783,4.705103221,4.750229273,4.608270278,5.234993092,4.192961728,5.891434314,6.666709552,5.465392028,6.31204799,4.545776739,3.62211406,4.379971361,4.527765841,5.241221064,5.97571601,7.403118934,3.442651214,3.795284356,6.721669556,4.525471464,4.364097642
642,2.850781254,6.445009034,4.714186918,3.158418774,12.59157633,6.91775175,7.883399342,5.354003022,11.47427929,3.54070581,8.746781435,10.17414913,5.382446454,7.612076796,3.659892922,4.487153458,2.514426688,3.481574535,4.246829593,6.997681704,3.408100352,3.296227561,3.465780362,3.100732429,5.217051429,5.815981966,5.681932925,5.948905444,12.6285846,12.12522316,3.319026377,5.114936138,10.60539824,6.569658514,3.379034567,4.274199686,5.294994234,4.683494119,4.112188285,3.287156046,4.578145308,5.964769004,5.345698959,5.631047577,3.461657545,5.649655276,5.765417429,5.420429557,5.140671122,4.834910198,3.513692904,6.305781778,5.259200035,5.768411917,5.764467189,6.057250746,4.416234432,3.630593975,6.012704835,4.453890655,3.617942358
2505,2.942507615,6.668304396,4.105766111,3.450743338,12.09273908,5.95954629,8.609784962,5.666762962,3.964109561,5.451172996,6.724984028,9.101316108,5.733914838,6.657080381,3.729987852,3.682952805,2.601812492,3.574724709,4.409314792,6.745648271,4.719653171,5.241383581,3.524181798,3.104082487,6.05469059,4.33182613,6.389661796,5.324304862,12.39929579,11.52016593,3.177474742,6.863145264,7.744430041,4.434100437,3.383421777,3.949137241,5.252008623,3.811610272,3.801551874,7.228381137,5.206727032,5.451232748,5.900743655,5.734363559,4.00527537,5.890027279,7.659959538,5.75680998,5.307705005,4.001629647,3.604324505,5.188732202,4.535249743,5.70755977,6.227021247,8.141862664,4.371017243,3.654854511,7.243427665,3.758586473,4.291816246
1720,3.070645903,6.86156791,3.91045014,3.339702829,12.19126936,4.572899797,7.627450725,7.135648546,3.993674389,7.814613659,8.42325456,9.051872397,4.874177281,6.542057455,3.632768942,3.434252927,2.596196582,3.127476284,6.619242721,7.156840722,4.533366689,3.254457179,3.453894045,2.943247754,4.714836309,4.536802834,5.411792323,6.076768307,12.97914264,11.7149742,3.370452751,6.468737758,9.188144503,5.064588187,3.182384502,5.081356165,7.266454723,4.186584294,3.679258978,3.049710147,4.193093517,5.27605609,6.134501369,5.913975458,3.399212721,7.431681609,7.113753133,5.824107355,5.368790182,4.119142508,3.3420033,5.543579523,4.329462826,5.548103416,5.200008503,7.590838859,5.699340198,3.904542843,6.208548286,3.924273473,4.458993278
1265,3.041111168,7.944747354,3.558435078,3.114169504,12.36758579,5.874250183,9.406436253,5.978119173,9.835410899,3.594124444,8.527035589,9.917738004,5.456732407,6.738420934,3.556395309,3.542588171,2.688431424,3.176577978,5.484333685,7.814883123,3.584539476,3.481635628,3.52972698,3.155417377,3.362141282,6.248305608,5.244782054,7.644151364,12.17487815,11.98935569,3.001561445,7.801215561,8.761914769,5.795308239,3.187574686,4.618571683,5.404652661,4.1896412,6.406908885,3.008326372,5.319575932,5.868827829,5.930364047,5.073539491,4.258876673,6.91090399,7.301245823,7.879975518,5.85843382,4.913985955,3.432003785,6.162765937,4.890324216,7.355055174,6.279726472,7.402104654,3.98577559,3.820216074,6.438374482,3.8266922,3.518164958
608,2.937713069,7.998379013,3.493170753,3.015028749,11.61291888,4.419883947,8.310222652,5.825470476,9.960879034,3.139662978,7.248301554,9.632494283,4.635893334,6.131985035,3.788404804,3.602495786,2.929896148,3.365543784,7.009603295,6.755318337,3.977230828,3.489884823,3.453696652,3.070572208,3.56555873,4.74983578,5.722809303,5.476183654,12.14253044,11.31266322,3.08899975,6.675689506,8.999380041,4.99696329,3.154862445,4.15665158,5.947246232,3.631858905,4.148100728,3.141680433,4.707463931,5.839857805,5.683122804,5.600419524,3.280726742,7.41075825,7.534464258,6.24776805,5.225001151,4.095347924,3.563293229,4.79630474,5.246324686,5.315848719,5.677158302,7.159463947,4.446202532,3.53455711,6.163945824,3.556820353,3.554985982
1167,2.938395634,7.960936552,3.731069969,3.238313182,11.7759254,4.457221419,7.807643824,6.224851053,8.845600977,5.38717881,6.314928371,9.330658296,5.290814781,6.33399975,3.506836965,3.501521974,2.746228703,3.273197867,5.714005652,7.833762867,3.392108932,3.026593345,3.135670307,3.088871036,4.202368832,4.476550925,5.569700461,8.049389925,12.12997408,11.50239237,3.179976952,6.157796394,7.697999524,5.140761758,3.179236982,4.343853397,5.181977661,4.582419044,3.819592069,3.299206621,4.248920254,5.596007491,5.988571147,5.59768944,3.593099514,6.011633173,5.628467679,5.040790202,5.851085235,4.065106779,3.528298739,5.003543132,3.897231062,6.833126064,6.021343809,6.46233801,4.131790722,3.565265857,6.605426164,3.810679787,3.538339453
3622,3.1249557,7.036261162,3.558860338,3.355912927,12.56258925,5.129005617,8.154899519,6.474756084,5.805374977,5.769710446,7.350718825,9.654895582,5.309321746,5.962211431,3.357554958,3.286977883,2.780427028,3.27588891,5.944841614,7.06221433,3.181191847,3.140095037,3.411327884,3.202479439,4.073298076,4.689476262,6.109080756,6.890981159,12.52983467,11.82531373,3.291019178,5.597321969,8.268123901,4.411475171,3.337813379,5.111588772,4.716072657,4.645268453,3.367756399,7.258827803,4.892947971,5.311391894,5.422767881,5.329345387,3.632055341,6.268055634,5.911357972,5.153689635,5.610647079,7.16093038,3.525589507,5.216359104,4.276687848,4.861097037,5.930093742,8.037294412,3.912487003,3.513717718,6.346449888,3.82425879,4.108326479
884,3.189711319,5.180235464,3.260259436,3.622963595,12.14532488,3.858861562,9.797370519,6.048043121,8.559028679,3.576864312,7.209203607,10.01045059,5.336896456,7.001911524,3.92415067,3.542093126,2.737496888,3.247895217,8.040780171,7.139182379,3.205948624,3.187956098,3.507498754,3.237764886,3.632916566,4.841464149,4.875120597,7.790449724,11.97706169,11.2373385,3.544483527,6.067686441,7.011045161,4.977455499,3.144009352,4.085513629,4.494728164,3.967489608,4.034970865,3.254962995,5.573713747,4.854497667,5.134600853,5.113851674,4.695234027,5.554854632,7.565173218,6.976779285,6.11889356,4.36437368,3.496793813,5.143664558,4.646329738,4.95980406,5.182298263,8.304241849,3.786687006,3.816029052,5.186815789,3.58197689,3.611294793
