response,SPATA6,TBX21,NAT9,SMARCA5,HIST1H2AC,LRAP,C20orf149,CAP1,B4GALT2,BXDC2,ZNF133,KCNS3,MRFAP1L1,HOXC10,AHCY,HOXA6,HABP2,DMWD,NTF3,EDG2,ME3,GPR19,COL4A3BP,SSR1,HIST1H1C,CYP3A43,MELK,EFNB3,TAF5,RFTN1,TINF2,TFAP2A,ZNF556,CCNG2,PGK1,FHL1,ANKRD5,HADH,SENP2,UFC1,PACSIN2,CGREF1,FEV,PYY,SPINK1,SLC30A5,BRD8,ERBB2IP,BPGM,YIPF6,ATP9A,TBCE,EFTUD1,TOP2A,RBM12,S100A8,WISP3,TOMM34,FZD8,EPB41L5
1483,3.436204723,3.389882585,5.633162093,6.562005495,8.921308151,6.325864699,6.485569418,9.683682042,5.16658498,6.635872084,5.100407293,4.33273754,6.02554733,3.283106586,9.459890458,3.357652808,3.159491665,4.808972912,4.022698321,4.393750096,3.933212395,4.908209902,6.408542638,8.37794246,9.436847113,3.103381464,8.495655974,4.037187483,5.955085287,6.692430547,5.619895317,5.113893791,4.271618327,4.86179903,8.79684832,6.051383547,5.073490296,5.582406755,5.232005845,9.11043265,7.091532074,4.019581736,3.363683218,3.057304961,3.220327546,5.805683167,5.583363552,7.847389929,5.193030483,7.71856214,6.892424973,5.384550191,5.428819545,8.66346668,6.06710623,5.193136542,6.696774641,7.271876885,3.217103066,3.32068075
656,3.546127776,3.518599613,5.128476616,5.810930478,8.523877293,5.501657177,7.43235227,9.450656384,5.644545607,6.289496329,5.537940082,4.273799013,7.731986231,3.429207502,8.821736035,3.253087025,3.539952509,4.334262918,4.001564881,3.98720337,4.476444622,3.777239862,5.831996925,6.903699841,6.558715913,3.259112806,4.885681387,4.691649285,5.563715896,7.798735399,4.637337403,4.89522607,4.326747932,4.612535581,6.0617382,5.959416547,5.795546158,6.709864104,4.256547333,8.652286563,6.780261709,5.157519488,3.555218098,3.347536352,3.189177118,4.816300302,5.496628412,7.035346328,5.13650352,7.229973218,7.417001579,5.154231574,4.904382974,6.385517641,5.859249835,3.706412967,3.829343468,5.921114708,3.390134705,3.515075498
1946,3.742932832,3.532362703,5.531424654,5.588885818,7.718212393,4.262738766,7.682407216,9.477779632,5.837210501,7.214008226,6.416479412,3.642040893,6.985116646,3.412721141,9.88593306,3.427345457,3.435330843,4.38608114,7.397836635,6.129602653,4.932825601,4.306395509,6.942569091,6.893043917,4.840076481,3.079060885,6.53852477,4.630443336,5.527694622,6.955503851,5.529074954,3.814133467,4.978124761,5.099207975,8.029499049,5.786760878,4.713957003,6.75000718,5.099957084,9.177704054,7.360569433,4.645648868,3.584617348,3.275008514,3.341089037,5.839867029,5.239124746,8.240484635,4.87851694,7.245373393,7.254126407,6.463543955,4.883567425,8.019904401,6.830220983,3.530705658,3.680629298,7.525473137,3.349397596,3.702055767
1991,3.529033358,3.197140487,5.927795229,6.608827264,9.224976136,5.220020601,8.165982056,9.708055611,5.789717902,6.594134584,5.646695373,4.398404607,8.025591091,3.826625582,10.6601413,4.057537333,3.365365031,5.208621213,5.896228175,4.169735426,4.133662608,7.905420519,5.372727061,7.272569846,7.852426259,3.071617842,6.575995492,5.452305473,6.535583893,5.514078569,4.622317301,4.174714365,3.413429856,5.308300002,8.586010984,5.693277439,5.55558744,6.365073827,4.392017061,9.771839028,7.329017932,3.506218222,3.573615409,4.978320573,3.391720962,5.649470104,5.711882658,8.253747383,5.352631328,7.920788703,7.582851418,5.652805047,5.393036098,8.407842926,7.023626114,4.722526353,3.631409556,7.407892315,3.530940165,3.645327061
1499,4.004172966,3.278007697,6.038510295,6.758250566,8.314262656,3.034769079,7.73718317,9.266502764,5.689940511,6.542038084,6.097607974,4.998364636,7.488083575,3.540449117,8.716869479,2.978205166,3.465425161,4.633306905,4.940006425,4.924166893,3.809931671,6.487373806,6.000811186,7.643950296,8.574920189,3.134450449,6.307253349,4.274582191,6.40977522,6.510615933,5.290653239,3.706056993,3.306890672,5.440610554,8.541487551,4.623237394,6.145708921,6.013599379,5.283586351,8.890437129,6.859366818,3.509635728,3.48400651,3.330399393,3.25093375,5.437706235,5.562333272,7.561152738,4.731737698,8.24993632,7.93338306,6.883172962,4.95553489,7.723342224,5.467156001,8.348993916,4.445504056,6.124475856,3.337043235,3.583097577
989,3.239470046,3.385083778,4.784808649,5.669566223,7.927793331,3.555138623,7.485571506,10.23301399,5.888759225,6.389284197,5.356627532,4.766804775,7.45974278,3.664212018,9.372408376,3.250352493,3.522699093,4.503605583,4.64873872,4.158238006,5.619038598,4.204947344,5.990062663,7.566318063,6.981933566,3.155466636,6.417496517,4.447786991,5.726310474,7.758040484,5.338536188,3.683637393,4.280782237,4.562917356,7.954249746,4.894697792,5.174175038,7.141474636,4.699746859,8.690047115,6.755286752,4.346635734,3.279623899,3.25307346,3.279193977,5.37638496,5.751868151,8.21367309,5.137034748,7.616964382,6.675200831,5.876348789,6.15135416,7.515378498,6.160719926,3.755124742,6.210616949,6.489765904,3.228398019,3.566302732
1348,3.566939777,3.365812472,5.120707586,6.15959483,8.394345981,6.491571415,8.296563383,9.668221173,4.982345894,6.792210622,5.190105735,5.136638849,7.134770822,6.219796294,9.517302105,3.295286617,3.440109286,4.5351332,3.802707056,5.460031494,6.150299993,4.462458338,6.0670051,8.202077628,7.476436464,3.17892056,6.462282212,4.585793052,5.405335743,5.996495815,5.684443016,4.106576199,3.468143108,6.433894715,8.600651817,3.93114219,5.669223751,7.68965072,5.918703856,8.555911648,7.264076158,3.468619072,3.302243144,3.233669993,3.206254999,5.41344858,5.620066308,8.283266007,5.47343549,8.83352586,7.916005622,6.119347241,5.416976461,8.120388663,6.782859073,7.361187345,3.946210587,5.601638303,3.198922483,3.541715351
1024,3.791406759,3.390172499,6.085427884,6.424394548,7.678240675,2.81033265,7.514066165,9.214587264,5.261111132,7.475164547,7.041657147,6.432463655,8.322764101,3.291921748,11.14781745,3.099078242,3.369993972,4.241849207,5.337917612,3.976016461,4.429782156,4.439743904,6.858716751,7.75291582,7.127432988,3.116359986,7.953729685,5.397246239,6.635422322,4.800605004,5.258064644,4.668069649,6.872109432,6.210386716,7.892405794,7.95257188,7.666105435,6.654253058,5.164353792,9.720022198,7.139902593,5.079249246,3.461916035,3.373894659,3.272357977,6.357085344,5.649391379,8.520268096,6.487053823,7.921635128,8.326825818,6.76134995,5.871078674,9.773168894,7.402664053,5.65289868,5.005358989,7.902827097,3.09089614,3.670748299
2328,3.611837445,3.451258158,5.172124091,6.727726471,7.463006676,5.504742021,7.57205045,9.504479211,5.238122906,6.862143559,4.607281544,6.485102456,7.042996735,3.375629969,8.743042991,3.102822482,3.542476943,4.462010178,6.034539559,4.289813886,4.534607213,6.038716917,5.987753134,7.24157401,7.280542403,3.070683077,7.914539973,5.017261581,6.039137436,6.570965487,5.673132307,4.546509815,3.404709435,5.961414454,8.947899519,4.989151927,5.560729786,7.24810173,4.990510415,9.137369246,6.844787449,3.708450034,3.571936726,3.259304358,3.128979981,5.316037719,5.632785469,8.634038395,5.024346172,8.128941134,6.860787488,5.93354515,4.910356809,8.229973365,6.348388589,5.822811783,6.507449999,6.124476014,3.513100474,3.833878365
2174,4.109873685,3.533907382,5.616229567,4.774317557,7.162101624,5.070718613,7.545172237,9.462847712,6.051936105,5.817172119,5.114301382,3.718329159,6.597018874,3.241887747,8.391435685,3.546662296,3.423701714,4.698253724,4.195383923,4.564306166,5.488423925,4.152223094,6.589360381,5.649576452,7.84597322,3.191515312,5.949538923,4.070788862,4.527574245,7.816982452,4.123880797,4.084846658,4.155292293,3.687271551,6.104854818,5.011483548,4.805808117,5.830242844,4.16658544,8.30247368,6.577979298,4.442359506,3.617861558,3.572450783,3.304015775,4.608270278,5.234993092,8.000715099,5.465392028,7.099853417,7.142654454,5.090536153,4.379971361,6.618876556,5.183680809,7.198273268,3.669743753,6.274457354,3.549196535,4.525471464
642,4.714186918,3.158418774,5.219417299,7.244644161,8.805538724,3.092437785,7.260570572,10.17414913,5.382446454,7.612076796,5.808211043,4.009205521,6.997681704,3.408100352,10.07189815,3.296227561,3.465780362,4.048850357,5.252293243,3.956353733,6.118300947,5.726614717,6.321523122,8.40678578,9.130798341,2.965886073,8.425892392,5.026243125,5.851111263,5.948905444,6.083982898,5.603581298,3.176366142,5.691415964,10.60539824,4.594754905,6.569658514,7.106158909,5.294994234,8.915251006,6.389654969,4.112188285,3.272321666,3.287156046,3.209215062,5.345698959,5.631047577,7.472476294,5.420429557,8.305284007,6.695031349,7.620557909,6.305781778,8.877753404,6.465366741,7.178655734,4.925639821,6.737238367,3.169181845,4.453890655
2505,4.105766111,3.450743338,5.096906209,6.543587074,6.459497909,3.328035941,8.15819624,9.101316108,5.733914838,6.657080381,6.058438703,4.297307572,6.745648271,4.719653171,9.825407878,5.241383581,3.524181798,4.681071945,6.923822359,3.985317158,5.052870159,6.561453673,7.066596732,6.931411127,5.966212785,3.151111174,7.081508306,4.959452986,6.516934007,5.324304862,4.836256605,3.716515971,4.113241723,5.102759541,7.744430041,4.655564678,4.434100437,6.200538709,5.252008623,9.171308149,6.54428494,3.801551874,3.329838484,7.228381137,5.594036032,5.900743655,5.734363559,8.835067155,5.75680998,8.356290225,7.500696876,6.528851467,5.188732202,8.345514753,6.879885989,7.388784738,6.23351465,7.908921862,3.161087893,3.758586473
1720,3.91045014,3.339702829,5.049690706,6.473455062,9.06257503,5.070443968,7.637404627,9.051872397,4.874177281,6.542057455,6.431671281,3.840455531,7.156840722,4.533366689,9.698009065,3.254457179,3.453894045,4.471833209,4.707018984,5.825591783,4.474857808,4.80007953,7.400724029,7.043435868,6.383517756,3.065028032,7.47766638,5.156566257,6.084080736,6.076768307,5.730232332,3.585783542,3.590807456,6.010356168,9.188144503,4.95428241,5.064588187,6.678837691,7.266454723,10.30191855,6.568933979,3.679258978,3.304787179,3.049710147,5.354550178,6.134501369,5.913975458,8.768397681,5.824107355,8.90323342,8.15444004,7.17729437,5.543579523,7.951414124,7.370805119,4.022397277,3.695997533,6.746821815,3.168983911,3.924273473
1265,3.558435078,3.114169504,5.987817309,5.744296683,10.11295391,3.737619015,8.33001321,9.917738004,5.456732407,6.738420934,5.82484641,6.68345878,7.814883123,3.584539476,8.967137233,3.481635628,3.52972698,4.646845094,3.912492851,4.808777843,5.36511669,3.587576446,6.388710257,8.157141664,10.483348,2.94318076,6.396410759,5.040488563,4.519675361,7.644151364,5.993468902,6.473436481,3.673631171,6.166088437,8.761914769,3.995709021,5.795308239,7.587086642,5.404652661,9.405814317,6.826862465,6.406908885,3.220889739,3.008326372,2.987144807,5.930364047,5.073539491,7.73451479,7.879975518,8.537862493,7.650368664,6.711014683,6.162765937,5.787444082,6.592886185,4.535430829,3.667054679,6.974992084,3.06403519,3.8266922
608,3.493170753,3.015028749,4.772828213,5.388124393,9.388975454,7.190714335,7.985595379,9.632494283,4.635893334,6.131985035,6.390950086,3.793394542,6.755318337,3.977230828,9.190914432,3.489884823,3.453696652,4.710805908,6.597481563,3.954239805,4.451297529,4.566738917,6.778727668,8.025457438,9.780107787,3.21994618,6.271961351,3.996733191,4.602112882,5.476183654,4.906755663,3.81878899,3.642001328,5.217675391,8.999380041,4.119612733,4.99696329,5.813808488,5.947246232,9.073080817,5.776766539,4.148100728,3.445581471,3.141680433,3.204916309,5.683122804,5.600419524,8.251954032,6.24776805,8.083171548,8.55653143,6.724644473,4.79630474,8.090867719,6.644546267,5.02595853,5.45570661,6.764021963,3.165721283,3.556820353
1167,3.731069969,3.238313182,5.732738403,6.499817427,7.852424068,3.808936983,6.67924942,9.330658296,5.290814781,6.33399975,5.103843569,4.558218079,7.833762867,3.392108932,8.437550808,3.026593345,3.135670307,4.615615157,4.010319456,4.667949609,5.110379918,5.158274685,6.704959426,7.897781028,8.058413929,3.151031873,6.231194954,4.116150068,5.381229906,8.049389925,4.54477723,5.133088735,4.613194478,5.062630527,7.697999524,5.826627327,5.140761758,6.788154052,5.181977661,9.798599651,5.971342697,3.819592069,3.437518425,3.299206621,3.173775175,5.988571147,5.59768944,8.772945171,5.040790202,7.611699128,7.205149506,6.188961391,5.003543132,9.062530236,6.079993168,3.91326754,5.735784691,6.113052342,3.243358945,3.810679787
